fpr,tpr,threshold
0.0,0.0,inf
0.0016666666666666668,0.0,0.4868252520105371
0.0016666666666666668,0.013333333333333334,0.4154528279527761
0.0033333333333333335,0.013333333333333334,0.4130640854178122
0.0033333333333333335,0.02666666666666667,0.4053673485801486
0.01,0.02666666666666667,0.39243368445593524
0.01,0.03333333333333333,0.3851078734760686
0.011666666666666667,0.03333333333333333,0.38419398706883445
0.011666666666666667,0.04,0.383176554997323
0.021666666666666667,0.04,0.36990439717873475
0.021666666666666667,0.04666666666666667,0.36938878756627164
0.03833333333333333,0.04666666666666667,0.351460139793621
0.03833333333333333,0.05333333333333334,0.35097998057864893
0.06,0.05333333333333334,0.34162696992780595
0.06,0.06,0.34019931273761017
0.06166666666666667,0.06,0.3401847115691321
0.06166666666666667,0.06666666666666667,0.33961418500777785
0.08833333333333333,0.06666666666666667,0.32935304619709266
0.08833333333333333,0.08,0.32805220774341215
0.1,0.08,0.3233789051839259
0.1,0.08666666666666667,0.3232328639602769
0.12,0.08666666666666667,0.3179101157070318
0.12,0.09333333333333334,0.3177442593252974
0.125,0.09333333333333334,0.3150914317674784
0.125,0.1,0.31503874337214516
0.13833333333333334,0.1,0.31167791132030537
0.13833333333333334,0.10666666666666667,0.3115077524285513
0.16333333333333333,0.10666666666666667,0.30610681963705366
0.16333333333333333,0.11333333333333333,0.30605719587843355
0.16833333333333333,0.11333333333333333,0.3054383345513707
0.16833333333333333,0.12,0.3044016046682286
0.18,0.12,0.3019523067191581
0.18,0.12666666666666668,0.30184652538758455
0.18833333333333332,0.12666666666666668,0.30091761859460614
0.18833333333333332,0.13333333333333333,0.3000143124255414
0.195,0.13333333333333333,0.29761443440195845
0.195,0.14,0.2975560884180417
0.2,0.14,0.29673272938521633
0.2,0.14666666666666667,0.2961037617116494
0.215,0.14666666666666667,0.2939952946477009
0.215,0.15333333333333332,0.29356269568248
0.23833333333333334,0.15333333333333332,0.2900590515602083
0.23833333333333334,0.16666666666666666,0.28929040838108316
0.24,0.16666666666666666,0.2892572088710099
0.24,0.17333333333333334,0.28923317714859553
0.245,0.17333333333333334,0.2885275372725479
0.245,0.19333333333333333,0.2884091360278544
0.24666666666666667,0.19333333333333333,0.28835605762871835
0.24666666666666667,0.2,0.2878848813655558
0.25,0.2,0.2867465563938729
0.25,0.20666666666666667,0.286431346908511
0.26166666666666666,0.20666666666666667,0.28556413022352745
0.26166666666666666,0.21333333333333335,0.2855640795017895
0.2733333333333333,0.21333333333333335,0.28250046504232573
0.2733333333333333,0.22666666666666666,0.28229600440930874
0.29333333333333333,0.22666666666666666,0.277737780048073
0.29333333333333333,0.24,0.2774497956691639
0.3,0.24,0.27723818965822034
0.3,0.26,0.27614437310894535
0.30833333333333335,0.26,0.27554299609094035
0.30833333333333335,0.26666666666666666,0.27534250486744466
0.31,0.26666666666666666,0.2753249923521085
0.31,0.2733333333333333,0.2743353979792274
0.31166666666666665,0.2733333333333333,0.2742309764740522
0.31166666666666665,0.28,0.27407526664750415
0.3283333333333333,0.28,0.2719391043844519
0.3283333333333333,0.29333333333333333,0.2714739031712729
0.33,0.29333333333333333,0.2711340460422944
0.33,0.3,0.2705330532074727
0.34,0.3,0.2689419780710366
0.34,0.30666666666666664,0.26816785871300675
0.3416666666666667,0.30666666666666664,0.26789183619568924
0.3416666666666667,0.32,0.26742364176287226
0.34833333333333333,0.32,0.26600899636048914
0.34833333333333333,0.32666666666666666,0.26564994187536684
0.37,0.32666666666666666,0.2633721848369673
0.37,0.3333333333333333,0.2633517505391771
0.385,0.3333333333333333,0.26138890293667405
0.385,0.3466666666666667,0.26043399045435706
0.39,0.3466666666666667,0.2593330779984045
0.39,0.35333333333333333,0.2580398665427184
0.3983333333333333,0.35333333333333333,0.257523002286341
0.3983333333333333,0.36,0.25725122498366837
0.4,0.36,0.25686835669773417
0.4,0.36666666666666664,0.25681274392876396
0.42,0.36666666666666664,0.25467983612232425
0.42,0.37333333333333335,0.25404456138913467
0.425,0.37333333333333335,0.2531401350787989
0.425,0.38,0.2531310133959375
0.42833333333333334,0.38,0.25293760904275064
0.42833333333333334,0.38666666666666666,0.25265449997617134
0.43666666666666665,0.38666666666666666,0.25195813769598135
0.43666666666666665,0.4,0.25097921676315743
0.43833333333333335,0.4,0.25088658526911245
0.43833333333333335,0.4066666666666667,0.2507000255774218
0.44666666666666666,0.4066666666666667,0.24967853937942897
0.44666666666666666,0.41333333333333333,0.2493065230074262
0.45166666666666666,0.41333333333333333,0.24857720589407456
0.45166666666666666,0.42,0.24846033600623552
0.4583333333333333,0.42,0.24759246668490958
0.4583333333333333,0.4266666666666667,0.2467857753988757
0.46,0.4266666666666667,0.24655448797538834
0.46,0.43333333333333335,0.24650355378090436
0.475,0.43333333333333335,0.24491914684174773
0.475,0.44666666666666666,0.24474948105012162
0.47833333333333333,0.44666666666666666,0.24467798990704515
0.47833333333333333,0.4533333333333333,0.2446527792426301
0.49166666666666664,0.4533333333333333,0.24244994708962525
0.49166666666666664,0.4666666666666667,0.24176874877182408
0.535,0.4666666666666667,0.23586543803329418
0.535,0.47333333333333333,0.23575991281033917
0.55,0.47333333333333333,0.23384202149978442
0.55,0.48,0.2337765460100792
0.5516666666666666,0.48,0.23364135281714749
0.5516666666666666,0.4866666666666667,0.23327487492389465
0.5583333333333333,0.4866666666666667,0.2329428894761173
0.5583333333333333,0.49333333333333335,0.23292351233419065
0.5733333333333334,0.49333333333333335,0.23095177984758228
0.5733333333333334,0.5,0.23055192436522226
0.5816666666666667,0.5,0.2287112067238864
0.5816666666666667,0.5066666666666667,0.22810613669799173
0.5833333333333334,0.5066666666666667,0.22794067073419688
0.5833333333333334,0.5133333333333333,0.22731104257040985
0.605,0.5133333333333333,0.2233649095693205
0.605,0.52,0.22327405518641183
0.6083333333333333,0.52,0.22272190767563976
0.6083333333333333,0.5266666666666666,0.22261953092239742
0.61,0.5266666666666666,0.2220785580682476
0.61,0.5333333333333333,0.22206685653171152
0.6133333333333333,0.5333333333333333,0.22093921591119117
0.6133333333333333,0.54,0.22092615508299457
0.635,0.54,0.21902827035898484
0.635,0.5466666666666666,0.21894078100615022
0.6366666666666667,0.5466666666666666,0.21875583485109992
0.6366666666666667,0.5533333333333333,0.21854665025626346
0.6383333333333333,0.5533333333333333,0.2184339272593577
0.6383333333333333,0.56,0.21811606958175098
0.64,0.56,0.217794899079836
0.64,0.5733333333333334,0.2173718904645487
0.65,0.5733333333333334,0.21617790978121726
0.65,0.58,0.2158492200438305
0.6516666666666666,0.58,0.21532238593668557
0.6516666666666666,0.5866666666666667,0.21523440298034374
0.655,0.5866666666666667,0.21496985884751574
0.655,0.6,0.214426761065738
0.6683333333333333,0.6,0.21311392186160732
0.6683333333333333,0.6066666666666667,0.2128681694949963
0.69,0.6066666666666667,0.20893823770253395
0.69,0.6133333333333333,0.20888625533740035
0.6933333333333334,0.6133333333333333,0.20840052384805705
0.6933333333333334,0.62,0.2082100179690939
0.695,0.62,0.20811210277291367
0.695,0.6333333333333333,0.20719283943429523
0.6966666666666667,0.6333333333333333,0.2071643928678607
0.6966666666666667,0.64,0.20714166562614497
0.7,0.64,0.20658893927443917
0.7,0.6466666666666666,0.20648238366094523
0.705,0.6466666666666666,0.20597628850801564
0.705,0.6666666666666666,0.20582474260425584
0.7133333333333334,0.6666666666666666,0.2050288636488928
0.7133333333333334,0.6733333333333333,0.2049348502738397
0.715,0.6733333333333333,0.20490809711749658
0.715,0.68,0.20474221609405036
0.72,0.68,0.20402042003821877
0.72,0.6866666666666666,0.20370539164043922
0.7233333333333334,0.6866666666666666,0.20325939828236803
0.7233333333333334,0.7,0.2029306581088025
0.7266666666666667,0.7,0.20244326513921637
0.7266666666666667,0.7066666666666667,0.20230034655740292
0.7283333333333334,0.7066666666666667,0.20178281128807174
0.7283333333333334,0.7133333333333334,0.2010091915584443
0.755,0.7133333333333334,0.1982253271803438
0.755,0.72,0.19795293538331782
0.7583333333333333,0.72,0.19789743314842864
0.7583333333333333,0.7266666666666667,0.19742616860001097
0.76,0.7266666666666667,0.1971454771106879
0.76,0.7333333333333333,0.19689880260207393
0.7683333333333333,0.7333333333333333,0.1966295859295958
0.7683333333333333,0.74,0.19647908880402828
0.77,0.74,0.19634044393324515
0.77,0.7466666666666667,0.19620138713952365
0.7883333333333333,0.7466666666666667,0.19342041247866718
0.7883333333333333,0.7533333333333333,0.19298964192688187
0.7916666666666666,0.7533333333333333,0.19243786287102013
0.7916666666666666,0.76,0.19235766355231018
0.7983333333333333,0.76,0.1915775551444514
0.7983333333333333,0.7733333333333333,0.19096969478354714
0.8016666666666666,0.7733333333333333,0.19068298155807484
0.8016666666666666,0.78,0.1905959147870589
0.8116666666666666,0.78,0.1898907572573119
0.8116666666666666,0.7866666666666666,0.18961393105065996
0.8166666666666667,0.7866666666666666,0.18920656548107714
0.8166666666666667,0.7933333333333333,0.18832734841225227
0.8233333333333334,0.7933333333333333,0.18772442562002914
0.8233333333333334,0.8066666666666666,0.18769922750796242
0.825,0.8066666666666666,0.1874909000161444
0.825,0.8133333333333334,0.18739273069876217
0.8333333333333334,0.8133333333333334,0.18549771591503955
0.8333333333333334,0.82,0.18524151267995248
0.835,0.82,0.18474890183454062
0.835,0.8266666666666667,0.18457057662557652
0.8433333333333334,0.8266666666666667,0.18300656796321052
0.8433333333333334,0.8333333333333334,0.1829271428716843
0.8516666666666667,0.8333333333333334,0.18001677790842263
0.8516666666666667,0.84,0.17979854208774507
0.855,0.84,0.17941613761064795
0.855,0.8466666666666667,0.17772317240960436
0.8783333333333333,0.8466666666666667,0.17385191207129683
0.8783333333333333,0.86,0.17282110782652504
0.8883333333333333,0.86,0.17214607233930307
0.8883333333333333,0.8733333333333333,0.17142814854904578
0.8916666666666667,0.8733333333333333,0.1703891396091398
0.8916666666666667,0.88,0.16996520361530384
0.9016666666666666,0.88,0.1662297559556503
0.9016666666666666,0.8866666666666667,0.16601962149397617
0.905,0.8866666666666667,0.16527467424379927
0.905,0.8933333333333333,0.16514910139817984
0.91,0.8933333333333333,0.16397956975090255
0.91,0.9,0.1639236227933244
0.9116666666666666,0.9,0.16336591823731372
0.9116666666666666,0.9066666666666666,0.16238423637443306
0.9133333333333333,0.9066666666666666,0.16187087378329748
0.9133333333333333,0.9133333333333333,0.16183465950373177
0.9183333333333333,0.9133333333333333,0.16040561164329187
0.9183333333333333,0.92,0.16018455436456877
0.9216666666666666,0.92,0.15978395983330146
0.9216666666666666,0.9266666666666666,0.1595430548813737
0.9266666666666666,0.9266666666666666,0.15818659931798448
0.9266666666666666,0.9333333333333333,0.15803405525709907
0.9283333333333333,0.9333333333333333,0.15802792978802824
0.9283333333333333,0.94,0.1577950182040242
0.9383333333333334,0.94,0.15605134020020836
0.9383333333333334,0.9466666666666667,0.15535189089276866
0.9533333333333334,0.9466666666666667,0.15316305625512824
0.9533333333333334,0.9533333333333334,0.15265952663009816
0.955,0.9533333333333334,0.15184031536760137
0.955,0.96,0.15160027012385638
0.965,0.96,0.14559003654186853
0.965,0.9666666666666667,0.14538526745529934
0.9666666666666667,0.9666666666666667,0.14372789547950035
0.9666666666666667,0.9733333333333334,0.1430585181939777
0.97,0.9733333333333334,0.14226660973308158
0.97,0.98,0.14179470894461976
0.9783333333333334,0.98,0.13675212123080524
0.9783333333333334,0.9866666666666667,0.13576864029767752
0.99,0.9866666666666667,0.13092836687083734
0.99,0.9933333333333333,0.12969356332478468
0.9933333333333333,0.9933333333333333,0.12741914487835243
0.9933333333333333,1.0,0.12710169159476387
1.0,1.0,0.10649466345324687
