fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,0.2953214514689154
0.0,0.02,0.2953187657518421
0.005,0.02,0.2951984459966735
0.005,0.02666666666666667,0.29519786426258365
0.016666666666666666,0.02666666666666667,0.2949334327199407
0.016666666666666666,0.04,0.2947651226503525
0.02,0.04,0.2947526707756623
0.02,0.04666666666666667,0.29473520133608166
0.03333333333333333,0.04666666666666667,0.29458798564855404
0.03333333333333333,0.05333333333333334,0.29458597405587295
0.035,0.05333333333333334,0.29452703715906076
0.035,0.06,0.2945230259916788
0.065,0.06,0.293955201352092
0.065,0.06666666666666667,0.2938947786095933
0.06666666666666667,0.06666666666666667,0.2938819388278035
0.06666666666666667,0.07333333333333333,0.29382079301611574
0.07,0.07333333333333333,0.29377553945746704
0.07,0.08,0.29374546779661254
0.08,0.08,0.2934565667229557
0.08,0.08666666666666667,0.2934194392030538
0.095,0.08666666666666667,0.2929384139215586
0.095,0.09333333333333334,0.2929246917478943
0.1,0.09333333333333334,0.29287483612958987
0.1,0.1,0.2928318654981324
0.11666666666666667,0.1,0.29240340237805496
0.11666666666666667,0.10666666666666667,0.29232094520762875
0.11833333333333333,0.10666666666666667,0.2923185527474655
0.11833333333333333,0.11333333333333333,0.2922882448681277
0.13166666666666665,0.11333333333333333,0.29204818092905815
0.13166666666666665,0.13333333333333333,0.29198369552205955
0.13333333333333333,0.13333333333333333,0.2919679995759059
0.13333333333333333,0.14,0.29195523747629465
0.13666666666666666,0.14,0.29192835115100213
0.13666666666666666,0.14666666666666667,0.2918446829731408
0.16166666666666665,0.14666666666666667,0.29151349399178733
0.16166666666666665,0.16,0.29138608022476875
0.16333333333333333,0.16,0.291368857115164
0.16333333333333333,0.16666666666666666,0.2913542064977313
0.17166666666666666,0.16666666666666666,0.2912555848664203
0.17166666666666666,0.18,0.29122196151520113
0.185,0.18,0.2910595927133445
0.185,0.18666666666666668,0.2910170380703364
0.19166666666666668,0.18666666666666668,0.2908995485271287
0.19166666666666668,0.19333333333333333,0.29088985683489665
0.2,0.19333333333333333,0.29074149355715456
0.2,0.2,0.2907147026571958
0.205,0.2,0.29061295645184393
0.205,0.20666666666666667,0.2905535535218097
0.20833333333333334,0.20666666666666667,0.2905061383615756
0.20833333333333334,0.21333333333333335,0.2904958650414821
0.21333333333333335,0.21333333333333335,0.2903709128598545
0.21333333333333335,0.22666666666666666,0.2903422035532646
0.22666666666666666,0.22666666666666666,0.290084634609325
0.22666666666666666,0.23333333333333334,0.29000930387247625
0.24166666666666667,0.23333333333333334,0.2898329775888722
0.24166666666666667,0.24,0.289801327904724
0.245,0.24,0.2897050978529402
0.245,0.24666666666666667,0.28962375350766784
0.255,0.24666666666666667,0.28940929792192843
0.255,0.25333333333333335,0.2893323610833527
0.25666666666666665,0.25333333333333335,0.2893119896641358
0.25666666666666665,0.26666666666666666,0.28928431708200203
0.27,0.26666666666666666,0.28907850756560793
0.27,0.2733333333333333,0.28906278947147485
0.3,0.2733333333333333,0.2886363400834866
0.3,0.28,0.28848571012149316
0.30833333333333335,0.28,0.28831549256957617
0.30833333333333335,0.3,0.2882297828664488
0.31833333333333336,0.3,0.28810587880954075
0.31833333333333336,0.30666666666666664,0.28802937958645336
0.3233333333333333,0.30666666666666664,0.2879741352091878
